age,workclass,education,education_num,marital_status,occupation,gender,hours_per_week,income
-1.3162185429206148,1,0,0.0,2,3,1,-0.49592246909713206,0
0.04178471564827333,0,2,0.3922322702763681,1,1,0,0.10157448162230436,1
-1.0028331755585638,1,1,-1.5689290811054724,2,0,0,-1.0934194198165685,0
0.6685554503723755,2,3,1.1766968108291043,1,3,1,0.6990714323417407,1
-0.3760624408344615,1,0,0.0,0,2,1,-0.49592246909713206,0
1.504249763337845,0,2,0.3922322702763681,1,1,0,0.4600726520539662,1
-1.5251421211619822,1,1,-1.5689290811054724,2,0,0,-1.6909163705360049,0
0.9819408177344267,2,3,1.1766968108291043,1,3,1,1.2965683830611772,1
-0.6894478081965126,1,0,0.0,2,2,1,-0.2569236888093575,0
0.35517008301032443,0,2,0.3922322702763681,1,1,0,0.22107387176619164,1
-0.8983713864378801,1,1,-1.5689290811054724,2,0,0,-0.9739200296726812,0
1.2953261850964777,2,3,1.1766968108291043,1,3,1,1.8940653337806135,1
-0.06267707347241037,1,0,0.0,0,2,0,-0.49592246909713206,0
0.7730172394930592,0,2,0.3922322702763681,1,1,1,0.6990714323417407,1
-1.2117567537999312,1,1,-1.5689290811054724,2,0,1,-1.4519175902482302,0
0.14624650476895704,2,3,1.1766968108291043,1,3,0,0.9380702126295153,1
-0.4805242299551452,1,0,0.0,2,2,0,-0.3764230789532448,0
1.0864026068551105,0,2,0.3922322702763681,1,1,1,0.5795720421978535,1
-1.1072949646792474,1,1,-1.5689290811054724,2,0,0,-1.2129188099604558,0
1.8176351306998964,2,3,1.1766968108291043,1,3,1,1.655066553492839,1
